Nombre cientifico de entrada,Familia (GBIF),Genero (GBIF),Especie (GBIF),EOO (km2),AOO (km2),Altitud minima (m),Altitud maxima (m),Pa�ses,Areas protegidas,Mapa de registros de presencia,Mapa agrupado,Archivo CSV con registros de presencia
Abarema racemiflora,Fabaceae,Abarema,Abarema racemiflora,3369446.21,124.00,205.00,2000.00,"BO, BR, CO, CR, EC, PA","Braulio Carrillo, Cordillera Volcanica Central, Cotapata, Donoso, La Selva, Las Orquideas, Llanganates","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Abarema_racemiflora-mapa_registros_presencia.html"", ""Enlace al mapa"")","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Abarema_racemiflora-mapa_agrupado.html"", ""Enlace al mapa"")","=HYPERLINK(""https://github.com/evaluacion-arboles-mesoamerica/Abarema_racemiflora-Axinaea_costaricensis/blob/master/Abarema_racemiflora-registros_presencia.csv"", ""Enlace al archivo"")"
Acalypha ferdinandi,Euphorbiaceae,Acalypha,Acalypha ferdinandi,803644.48,288.00,0.00,1550.00,"CR, GT, HN, MX, PE","Area de Conservación Guanacaste, Carara, Cerro San Gil, Cerro de Escazu, Cerros de Turrubares, El Rodeo, La Cangreja, Lancetilla, Palenque, Santa Rosa, Volcan Tenorio","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Acalypha_ferdinandi-mapa_registros_presencia.html"", ""Enlace al mapa"")","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Acalypha_ferdinandi-mapa_agrupado.html"", ""Enlace al mapa"")","=HYPERLINK(""https://github.com/evaluacion-arboles-mesoamerica/Abarema_racemiflora-Axinaea_costaricensis/blob/master/Acalypha_ferdinandi-registros_presencia.csv"", ""Enlace al archivo"")"
Aegiphila panamensis,Lamiaceae,Aegiphila,Aegiphila panamensis,8450100.76,1660.00,0.00,2590.80,"BO, BR, CO, CR, EC, GF, GT, HN, MX, NI, PA, PE, SV, VE","Alto Orinoco-Casiquiare, Amacayacu, Antisana, Apaneca-Llamatepec, Archipiélago  de Zapatera, Area Natural Protegida Laguna del Jocotal, Area de Conservación Guanacaste, Barra Honda, Barra del Colorado, Barro Colorado, Bosawas, Cahuita, Camino de Cruces, Cano Negro, Carara, Caño Negro, Cerro Cumaica Cerro Alegre, Cerro El Arenal, Cerro Gaital, Cerro Mombachito La Vieja, Cerro Nara, Cerro Silva, Cerro Tomabu, Cerros de Turrubares, Chagres, Chirripo, Coiba, Coiba National Park and its Special Zone of Marine Protection, Complejo Laguna Güija, Complejo Volcánico San Cristobal Casitas, Complejo de Humedales Cuyabeno Lagartococha Yasuní, Corcovado, Cueva de los Guacharos, Cuyabeno, Darien National Park, Darién, Diria, Donoso, El Cajón, El Caura, El Montuoso, El Rodeo, El Tamá, Embalse Cerrón Grande, Encanto de los manglares del Bajo Baudo, Formaciones de Tepuyes, Gandoca Manzanillo, Gandoca-Manzanillo, Golfo Dulce, Guanacaste, Humedal Caribe Noreste, Indio Maiz, Internacional La Amistad, La Cangreja, La Joya, La Paragua, Laguna El Jocotal, Laguna de Apoyo, Las Tablas, Los Corales del Rosario y San Bernardo, Los Guatuzos, Los Santos, Manuel Antonio, Metropolitano, Miraflor/Moropotente, Miravalles, Nancuchiname (Mata de Piña, La Maroma, Porción 5 y 6), Narganá, Nukak, Parque Nacional Montecristo, Parque do Xingu, Piedras Blancas, Plan de Amayo, Punchina, Punta Gorda, Reserva de la Biósfera de Yasuni, Rincon de la Vieja, Rio Negro, Río San Juan, San Diego La Barra, laguna, cerro, San felipe (12), Santa Rosa, Serrania de los Yariguies, Serranía de la Neblina, Sierra Amerrisque, Soberania, Sur del Estado Bolívar, Sureste de Nicaragua, Talamanca Range-La Amistad Reserves / La Amistad National Park, Tortuguero, Volcan Barú, Volcán  Masaya, Volcán Cosiguina, Xiriualtique-Jiquilisco, Yanesha, Yasuní, Zona de Amortiguamiento (Bosawas), Zona de Amortiguamiento (Tisey Estanzuela), Área De Proteção Ambiental  Tapuruquara, Área De Proteção Ambiental Do Lago De Tucurui","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Aegiphila_panamensis-mapa_registros_presencia.html"", ""Enlace al mapa"")","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Aegiphila_panamensis-mapa_agrupado.html"", ""Enlace al mapa"")","=HYPERLINK(""https://github.com/evaluacion-arboles-mesoamerica/Abarema_racemiflora-Axinaea_costaricensis/blob/master/Aegiphila_panamensis-registros_presencia.csv"", ""Enlace al archivo"")"
Agonandra macrocarpa,Opiliaceae,Agonandra,Agonandra macrocarpa,370348.21,236.00,,,"CR, HN, MX, NI","Ancient Maya City and Protected Tropical Forests of Calakmul, Campeche, Area de Conservación Guanacaste, Balam-Ku, Calakmul, Ciénagas y Manglares de la Costa Norte de Yucatán, Diria, Dzilam, Guanacaste, Humedal de Importancia para la Conservación de Aves Acuáticas Reserva Río Lagartos, Palo Verde, Región de Calakmul, Reserva Estatal de Dzilam, Ría Lagartos, Santa Rosa, Tivives","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Agonandra_macrocarpa-mapa_registros_presencia.html"", ""Enlace al mapa"")","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Agonandra_macrocarpa-mapa_agrupado.html"", ""Enlace al mapa"")","=HYPERLINK(""https://github.com/evaluacion-arboles-mesoamerica/Abarema_racemiflora-Axinaea_costaricensis/blob/master/Agonandra_macrocarpa-registros_presencia.csv"", ""Enlace al archivo"")"
Aiouea brenesii,Lauraceae,Aiouea,Aiouea brenesii,701285.15,168.00,,,"CO, CR, HN, MX, PA","Area de Conservación Guanacaste, Coiba, Coiba National Park and its Special Zone of Marine Protection, El Rodeo, Guanacaste, Internacional La Amistad, Las Tablas, Penas Blancas, Rincon de la Vieja, Santa Fe, Talamanca Range-La Amistad Reserves / La Amistad National Park, Volcan Barú, Yaxchilán","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Aiouea_brenesii-mapa_registros_presencia.html"", ""Enlace al mapa"")","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Aiouea_brenesii-mapa_agrupado.html"", ""Enlace al mapa"")","=HYPERLINK(""https://github.com/evaluacion-arboles-mesoamerica/Abarema_racemiflora-Axinaea_costaricensis/blob/master/Aiouea_brenesii-registros_presencia.csv"", ""Enlace al archivo"")"
Aiouea neurophylla,Lauraceae,Aiouea,Aiouea neurophylla,603005.04,156.00,0.00,1550.00,"CR, HN, MX, NI, PA","Bosawas, Cerro Guabule, Cerros de Turrubares, Corcovado, Golfito, Golfo Dulce, Humedal Caribe Noreste, Lancetilla, Las Tablas, Piedras Blancas, Punta Rio Claro, Talamanca Range-La Amistad Reserves / La Amistad National Park, Tortuguero","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Aiouea_neurophylla-mapa_registros_presencia.html"", ""Enlace al mapa"")","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Aiouea_neurophylla-mapa_agrupado.html"", ""Enlace al mapa"")","=HYPERLINK(""https://github.com/evaluacion-arboles-mesoamerica/Abarema_racemiflora-Axinaea_costaricensis/blob/master/Aiouea_neurophylla-registros_presencia.csv"", ""Enlace al archivo"")"
Aiouea obscura,Lauraceae,Aiouea,Aiouea obscura,111491.53,76.00,,,"CO, CR","Corcovado, Golfo Dulce","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Aiouea_obscura-mapa_registros_presencia.html"", ""Enlace al mapa"")","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Aiouea_obscura-mapa_agrupado.html"", ""Enlace al mapa"")","=HYPERLINK(""https://github.com/evaluacion-arboles-mesoamerica/Abarema_racemiflora-Axinaea_costaricensis/blob/master/Aiouea_obscura-registros_presencia.csv"", ""Enlace al archivo"")"
Aiouea pittieri,Lauraceae,Aiouea,Aiouea pittieri,98080.68,284.00,,,"CR, NI, PA","Area de Conservación Guanacaste, Arenal Monteverde, Cerro El Arenal, Cerro Hoya, Cerro Tisey Estanzuela, Cerros de Turrubares, Corcovado, Fortuna, Guanacaste, Internacional La Amistad, La Cangreja, Las Tablas, Miraflor/Moropotente, Rincon de la Vieja, Talamanca Range-La Amistad Reserves / La Amistad National Park","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Aiouea_pittieri-mapa_registros_presencia.html"", ""Enlace al mapa"")","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Aiouea_pittieri-mapa_agrupado.html"", ""Enlace al mapa"")","=HYPERLINK(""https://github.com/evaluacion-arboles-mesoamerica/Abarema_racemiflora-Axinaea_costaricensis/blob/master/Aiouea_pittieri-registros_presencia.csv"", ""Enlace al archivo"")"
Aiouea tonduzii,Lauraceae,Aiouea,Aiouea tonduzii,102675.80,188.00,0.50,1850.00,"CR, PA","Altos de Campana, Area de Conservación Guanacaste, Arenal Monteverde, Cerro de Escazu, Chirripo, Darien National Park, Darién, Fortuna, Guanacaste, La Amistad, Las Tablas, Los Santos, Narganá, Rincon de la Vieja, Rio Banano, Talamanca Range-La Amistad Reserves / La Amistad National Park, Área de Manejo Especial Municipal de Chame (Manglares)","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Aiouea_tonduzii-mapa_registros_presencia.html"", ""Enlace al mapa"")","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Aiouea_tonduzii-mapa_agrupado.html"", ""Enlace al mapa"")","=HYPERLINK(""https://github.com/evaluacion-arboles-mesoamerica/Abarema_racemiflora-Axinaea_costaricensis/blob/master/Aiouea_tonduzii-registros_presencia.csv"", ""Enlace al archivo"")"
Aiphanes hirsuta,Arecaceae,Aiphanes,Aiphanes hirsuta,558283.91,372.00,125.00,2300.00,"CO, CR, EC, PA","Altos de Campana, Camelias, Canones de los rios Melcocho y Santo Domingo, Carauta, Cerro Gaital, Chagres, Cotacachi Cayapas, Darien, Darien National Park, Darién, De Urrao, Embalse el Penol y Cuenca Alta del Rio Guatape, Fortuna, General de División Omar Torrijos Herrera, La Tebaida, Las Orquideas, Paramillo, Punchina, Rio Anchicaya, Santa Fe","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Aiphanes_hirsuta-mapa_registros_presencia.html"", ""Enlace al mapa"")","=HYPERLINK(""https://evaluacion-arboles-mesoamerica.github.io/Abarema_racemiflora-Axinaea_costaricensis/Aiphanes_hirsuta-mapa_agrupado.html"", ""Enlace al mapa"")","=HYPERLINK(""https://github.com/evaluacion-arboles-mesoamerica/Abarema_racemiflora-Axinaea_costaricensis/blob/master/Aiphanes_hirsuta-registros_presencia.csv"", ""Enlace al archivo"")"
