Family,Genus,Species,Taxon Name,Category,Criteria,IUCN Assessment completed,Notes,Endemic?,Information inputted into SIS,Assessment reviewed,Map completed,Submitted to IUCN
FABACEAE,Abarema,racemiflora,Abarema racemiflora,LC,,,To send to David Neill for review,no,yes,,yes,
MALVACEAE,Abutilon,purpusii,Abutilon purpusii,,,,,,,,,
EUPHORBIACEAE,Acalypha,ferdinandi,Acalypha ferdinandi,,,,,,,,,
LAMIACEAE,Aegiphila,panamensis,Aegiphila panamensis,,,,1998 assessment,,,,,
OPILIACEAE,Agonandra,macrocarpa,Agonandra macrocarpa,,,,1998 assessment,,,,,
LAURACEAE,Aiouea,brenesii,Aiouea brenesii,,,,,,,,,
LAURACEAE,Aiouea,chavarrianum,Aiouea chavarrianum,,,,,,,,,
LAURACEAE,Aiouea,neurophylla,Aiouea neurophylla,,,,,,,,,
LAURACEAE,Aiouea,obscura,Aiouea obscura,,,,1998 assessment,,,,,
LAURACEAE,Aiouea,pittieri,Aiouea pittieri,,,,,,,,,
LAURACEAE,Aiouea,tonduzii,Aiouea tonduzii,,,,,,,,,
ARECACEAE,Aiphanes,hirsuta,Aiphanes hirsuta,,,,1998 assessment,,,,,
FABACEAE,Albizia,duckeana,Albizia duckeana,,,,,,,,,
JUGLANDACEAE,Alfaroa,manningii,Alfaroa manningii,,,,1998 assessment,,,,,
RUBIACEAE,Alibertia,utleyorum,Alibertia utleyorum,,,,,,,,,
RUBIACEAE,Alseis,costaricensis,Alseis costaricensis,,,,,,,,,
RUBIACEAE,Amaioua,pedicellata,Amaioua pedicellata,,,,,,,,,
ANACARDIACEAE,Amphipterygium,molle,Amphipterygium molle,x,,,Taxonomic Issue - not found in Costa Rica. Removed from working set,,,,,
BIGNONIACEAE,Amphitecna,gentryi,Amphitecna gentryi,,,,,,,,,
BIGNONIACEAE,Amphitecna,haberi,Amphitecna haberi,,,,,,,,,
BIGNONIACEAE,Amphitecna,isthmica,Amphitecna isthmica,,,,1998 assessment,,,,,
RUTACEAE,Amyris,brenesii,Amyris brenesii,,,,,,,,,
RUTACEAE,Amyris,magnifolia,Amyris magnifolia,,,,,,,,,
ANNONACEAE,Anaxagorea,phaeocarpa,Anaxagorea phaeocarpa,LC,,,1998 assessment,,,,,
LAURACEAE,Aniba,venezuelana,Aniba venezuelana,LC,,,1998 assessment,,,,,
ANNONACEAE,Annona,danforthii,Annona danforthii,LC,,,1998 assessment not published,,,,,
CARYOCARACEAE,Anthodiscus,chocoensis,Anthodiscus chocoensis,,,,1998 assessment,,,,,
RUBIACEAE,Arachnothryx,aspera,Arachnothryx aspera,,,,,,,,,
RUBIACEAE,Arachnothryx,brenesii,Arachnothryx brenesii,,,,,,,,,
RUBIACEAE,Arachnothryx,calycosa,Arachnothryx calycosa,,,,,,,,,
RUBIACEAE,Arachnothryx,chaconii,Arachnothryx chaconii,,,,,,,,,
RUBIACEAE,Arachnothryx,costaricensis,Arachnothryx costaricensis,,,,,,,,,
RUBIACEAE,Arachnothryx,monteverdensis,Arachnothryx monteverdensis,,,,,,,,,
RUBIACEAE,Arachnothryx,povedae,Arachnothryx povedae,,,,,,,,,
RUBIACEAE,Arachnothryx,tayloriae,Arachnothryx tayloriae,,,,,,,,,
MYRSINACEAE,Ardisia,alajuelae,Ardisia alajuelae,,,,,,,,,
MYRSINACEAE,Ardisia,angucianensis,Ardisia angucianensis,,,,,,,,,
MYRSINACEAE,Ardisia,blepharodes,Ardisia blepharodes,,,,,,,,,
MYRSINACEAE,Ardisia,brenesii,Ardisia brenesii,,,,,,,,,
MYRSINACEAE,Ardisia,capitellata,Ardisia capitellata,,,Kew to compile draft,,,,,,
MYRSINACEAE,Ardisia,cartagoana,Ardisia cartagoana,,,,,,,,,
MYRSINACEAE,Ardisia,crassiramea,Ardisia crassiramea,,,,,,,,,
MYRSINACEAE,Ardisia,dodgei,Ardisia dodgei,,,,,,,,,
MYRSINACEAE,Ardisia,dunlapiana,Ardisia dunlapiana,,,,,,,,,
MYRSINACEAE,Ardisia,furfuracea,Ardisia furfuracea,,,,,,,,,
MYRSINACEAE,Ardisia,furfuracella,Ardisia furfuracella,,,,1998 assessment,,,,,
MYRSINACEAE,Ardisia,generalensis,Ardisia generalensis,,,,,,,,,
MYRSINACEAE,Ardisia,liesneri,Ardisia liesneri,,,,,,,,,
MYRSINACEAE,Ardisia,maxonii,Ardisia maxonii,,,,1998 assessment,,,,,
MYRSINACEAE,Ardisia,opaca,Ardisia opaca,,,,1998 assessment,,,,,
MYRSINACEAE,Ardisia,palmana,Ardisia palmana,,,,,,,,,
MYRSINACEAE,Ardisia,pleurobotrya,Ardisia pleurobotrya,,,,,,,,,
MYRSINACEAE,Ardisia,standleyana,Ardisia standleyana,,,,1998 assessment,,,,,
MYRSINACEAE,Ardisia,storkii,Ardisia storkii,,,,,,,,,
MYRSINACEAE,Ardisia,tarariae,Ardisia tarariae,,,,,,,,,
MYRSINACEAE,Ardisia,tortuguerensis,Ardisia tortuguerensis,,,,,,,,,
MYRSINACEAE,Ardisia,wedelii,Ardisia wedelii,,,,,,,,,
ARECACEAE,Astrocaryum,alatum,Astrocaryum alatum,,,,1998 assessment,,,,,
ARECACEAE,Astrocaryum,confertum,Astrocaryum confertum,,,,,,,,,
ARECACEAE,Astrocaryum,standleyanum,Astrocaryum standleyanum,,,,,,,,,
PHYLLANTHACEAE,Astrocasia,peltata,Astrocasia peltata,,,,,,,,,
FABACEAE,Ateleia,herbert-smithii,Ateleia herbert-smithii,,,,,,,,,
FABACEAE,Ateleia,pterocarpa,Ateleia pterocarpa,LC,,,,,,,,
AVICENNIACEAE,Avicennia,bicolor,Avicennia bicolor,VU,A2cd,,2008 assessment,,,,,
AVICENNIACEAE,Avicennia,germinans,Avicennia germinans,LC,,,2007 assessment,,,,,
MELASTOMATACEAE,Axinaea,costaricensis,Axinaea costaricensis,,,Kew to compile draft,,,,,,
