,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
66,PRESERVED_SPECIMEN,Amphipterygium molle,,GBIF,1567,Manuel Vargas,,21.69667,-102.79,"W base of Cerro La Antorcha, Rancho San Antonio, 6.5 km SSE of Rancho La Higuera. R. La H. is along Hwy 70 c. 16 km SW of Calvillo",1999.0,1,1,1,,WGS84,2019,"Mitch Provance; Juanita Provance, Seychelle Provance, Joseph Gomez, Pablo and Maria Velasquez, and Alphonso Serna Serna"
2389,PRESERVED_SPECIMEN,Amphipterygium molle,248679,GBIF,6871,Manuel Vargas,,20.676389,-103.33,Barranca of Guadalajara.,1898.0,1,1,1,,WGS84,2019,C. G. Pringle
2469,PRESERVED_SPECIMEN,Amphipterygium molle,8045,GBIF,,Manuel Vargas,,21.163332999999998,-103.16833299999999,"Cerro la Bota, al oeste de Las Palmas, camino de terraceria Las Palmas - El Pitayito",1992.0,1,1,1,,WGS84,2019,J.J. Balleza C.; M. Adame G.
2470,PRESERVED_SPECIMEN,Amphipterygium molle,8048,GBIF,,Manuel Vargas,,21.358056,-103.2125,"Casa de Jesús Ayala, Cerro de Piñones",1998.0,1,1,1,,WGS84,2019,J.J. Balleza C.; E.D. Enríquez E.
2471,PRESERVED_SPECIMEN,Amphipterygium molle,8050,GBIF,,Manuel Vargas,,21.35,-103.221944,"4 km al oeste de Pueblo Viejo, Sierra de Morones",1999.0,1,1,1,,WGS84,2019,J.J. Balleza C.; M. Adame G.
2472,PRESERVED_SPECIMEN,Amphipterygium molle,8049,GBIF,,Manuel Vargas,,21.196389,-103.185278,"Santa Rosa, Cañón del Río Juchipila",1993.0,1,1,1,,WGS84,2019,E.D. Enríquez E.
2473,PRESERVED_SPECIMEN,Amphipterygium molle,8046,GBIF,,Manuel Vargas,,21.196389,-103.185278,"Santa Rosa, Cañón del Río Juchipila",1993.0,1,1,1,,WGS84,2019,E.D. Enríquez E.
2474,PRESERVED_SPECIMEN,Amphipterygium molle,8047,GBIF,,Manuel Vargas,,21.391667,-103.116667,Cerro de Las Ventanas,1992.0,1,1,1,,WGS84,2019,E.D. Enríquez E.
2475,PRESERVED_SPECIMEN,Amphipterygium molle,12635,GBIF,,Manuel Vargas,,21.391667,-103.116667,Cerro de Las Ventanas,2007.0,1,1,1,,WGS84,2019,J. Ramírez P.
3057,PRESERVED_SPECIMEN,Amphipterygium molle,155104,GBIF,,Manuel Vargas,,21.095833,-103.465278,"EL PALO VERDE, 4 KM AL SW DE SAN CRISTOBAL DE LA BARRANCA, MPIO. SAN CRISTOBAL DE LA BARRANCA, JAL.",2001.0,1,1,1,,WGS84,2019,P. Carrillo; G. David
5326,PRESERVED_SPECIMEN,Amphipterygium molle,2083398,GBIF,Pringle 8769,Manuel Vargas,,20.683611,-103.20666700000001,Barranca near Guadalajara.,1903.0,1,1,1,,WGS84,2019,Cyrus G. Pringle
8425,PRESERVED_SPECIMEN,Amphipterygium molle,G-G-146717/14,GBIF,,Manuel Vargas,,10.93333,-85.775,"Guanacaste - Guanacaste: La Cruz. P. N. Santa Rosa. Cuenca de Santa Elena. Sector Murciélago, Bahía Danta, Asociaciones costeras/Provincia de Guanacaste",2000.0,1,1,1,,WGS84,2019,"Morales, J. F. & J. González"
8426,PRESERVED_SPECIMEN,Amphipterygium molle,G-G-189975/1,GBIF,,Manuel Vargas,,20.32,-103.60167,"Jalisco - State of Jalisco, Barranca of Guadalajara/Estado de Jalisco",1898.0,1,1,1,,WGS84,2019,"Pringle, C. G. (Coll. Delessert 1899)"
8734,PRESERVED_SPECIMEN,Amphipterygium molle,K000081624,GBIF,6871,Manuel Vargas,,20.68,-103.35,Label: Barranca of Guadalajara .  GIS: Guadalajara,1898.0,1,1,1,,WGS84,2019,"Pringle, C.G."
9963,PRESERVED_SPECIMEN,Amphipterygium molle,236307,GBIF,,Manuel Vargas,,10.87,-85.79,"P.N. Santa Rosa Golfo de Papagayo, Península de Santa Elena. Hacienda Santa Elena, playa Molle, costado sureste de Fila La Penca.",1998.0,1,1,1,,WGS84,2019,"Zamora, Nelson"
9975,PRESERVED_SPECIMEN,Amphipterygium molle,188722,GBIF,,Manuel Vargas,,10.93,-85.76,P.N. Santa Rosa Península de Santa Elena; Bahía Danta; a lo largo de la costa y en la parte baja de laderas rocosas.,1994.0,1,1,1,,WGS84,2019,"González, José"
9989,PRESERVED_SPECIMEN,Amphipterygium molle,141063,GBIF,,Manuel Vargas,,10.93,-85.45,"P.N. Guanacaste Islas Murcielago. Isla San José. slope along beach, pistillate and staminate plants",1987.0,1,1,1,,WGS84,2019,"Smith, J. F."
