,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
73,PRESERVED_SPECIMEN,Anthodiscus chocoensis,3656918,GBIF,40460,Manuel Vargas,,3.93,-77.13,"Buenaventura Municipio. Bajo Calima: ca. 15 km N of Buenaventura, Carton de Colombia concession.",1983.0,1,1,1,,WGS84,2019,A. H. Gentry & A. Juncosa
1383,PRESERVED_SPECIMEN,Anthodiscus chocoensis,U.1169552,GBIF,,Manuel Vargas,,3.933333,-77.133333,,1983.0,1,1,1,,WGS84,2019,Gentry AH; Juncosa A
1392,PRESERVED_SPECIMEN,Anthodiscus chocoensis,U.1169562,GBIF,,Manuel Vargas,,3.833333,-77.166667,"Valle: Bajo Calima Concession. Ca 16 km NW of Buenaventura, at end of Gasolina Rd, Juanchaco area, BV-82.",1987.0,1,1,1,,WGS84,2019,Faber-Langendoen D; Monsalve Benavides M; Rentería Arriaga E
2201,PRESERVED_SPECIMEN,Anthodiscus chocoensis,MA-01-00515052,GBIF,1019,Manuel Vargas,,8.6,-83.7333,Puntarenas: Parque Nacional Corcovado Llorona to Los Planes,1989.0,1,1,1,,WGS84,2019,C. kernan & Pamela hillips
2274,PRESERVED_SPECIMEN,Anthodiscus chocoensis,1095964,GBIF,11146,Manuel Vargas,,8.6925,-83.5931,"Distrito: Sierpe; Reserva Forestal Golfo Dulce; Rancho Quemado, camino a Drake, parte mas elevada del camino, 200 m. al Este de la torre del ICE, en una trocha que lleva al Tierra de Conservacion de Rancho Quemado",2008.0,1,1,1,,WGS84,2019,R. Aguilar
2394,PRESERVED_SPECIMEN,Anthodiscus chocoensis,1095984,GBIF,11155,Manuel Vargas,,8.6925,-83.5931,"Distrito: Sierpe; Reserva Forestal Golfo Dulce; Rancho Quemado, camino a Drake, parte mas elevada del camino, 200 m. al Este de la torre del ICE, en una trocha que lleva al Tierra de Conservacion de Rancho Quemado",2008.0,1,1,1,,WGS84,2019,R. Aguilar
3186,PRESERVED_SPECIMEN,Anthodiscus chocoensis,259817,GBIF,40460,Manuel Vargas,,4.0252989999999995,-77.079882,"Bajo Calima, 15 kilómetros al norte de Buenaventura, concesión Carton de Colombia.",,1,1,1,,WGS84,2019,A. H. Gentry
4404,PRESERVED_SPECIMEN,Anthodiscus chocoensis,901590,GBIF,Zamora Villalobos 1899,Manuel Vargas,,8.66,-83.52,"R.F. Golfo Dulce; Península de Osa. Camino a Rancho Quemado, 3 Km después de la entrada a Banegas.",1992.0,1,1,1,,WGS84,2019,Nelson Zamora|Reinaldo Aguilar|Gerald F. Bills|Nora Martín|Víctor H. Ramírez
4427,PRESERVED_SPECIMEN,Anthodiscus chocoensis,898665,GBIF,Aguilar Fernández 2968,Manuel Vargas,,8.722222,-83.44166700000001,"R.F. Golfo Dulce.  Península de Osa.  Los Mogos; Bahía Chal, junto a la playa.",1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar|V. Alpízar|Mery Ocampo
4960,PRESERVED_SPECIMEN,Anthodiscus chocoensis,3463246,GBIF,McPherson 20479,Manuel Vargas,,8.832222,-80.658889,Teck Cominco Petaquilla mining concession. Forested slopes along ridge road.,2008.0,1,1,1,,WGS84,2019,Gordon McPherson
4961,PRESERVED_SPECIMEN,Anthodiscus chocoensis,3461414,GBIF,Giraldo Gallego 40,Manuel Vargas,,7.58078,-75.34841999999999,,,1,1,1,,WGS84,2019,Luis Fernando Giraldo G.
5046,PRESERVED_SPECIMEN,Anthodiscus chocoensis,3080784,GBIF,Mazuera 2,Manuel Vargas,,3.93333,-77.13333,"Bajo Calima, ca. 10 km due N of Buenaventura, Carton de Colombia concession, transition betweent tropical wet and pluvial forest.",1982.0,1,1,1,,WGS84,2019,H. Mazuera
5047,PRESERVED_SPECIMEN,Anthodiscus chocoensis,3080685,GBIF,Mazuera 13,Manuel Vargas,,3.93333,-77.13333,"Bajo Calima, ca. 10 km due N. of Buenaventura, Carton de Colombia concession, transition between tropical wet and pluvial forest.",1982.0,1,1,1,,WGS84,2019,H. Mazuera
5207,PRESERVED_SPECIMEN,Anthodiscus chocoensis,2448770,GBIF,Hurtado Hernández 170,Manuel Vargas,,8.68333,-83.54166,"R.F. Golfo Dulce. Península de Osa, camino a Rancho Quemado.",1999.0,1,1,1,,WGS84,2019,Priscilla Hurtado
5584,PRESERVED_SPECIMEN,Anthodiscus chocoensis,197970,GBIF,Gentry 47853,Manuel Vargas,,3.91666,-77.2,"BAJO CALIMA: Pluvial forest, road to Junchaco Palmeras.",1984.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Miryam Monsalve B.|D.A. Wolfe
5585,PRESERVED_SPECIMEN,Anthodiscus chocoensis,198000,GBIF,Kernan 1019,Manuel Vargas,,8.6,-83.73,Parque Nacional Corcovado Llorona to Los Planes.,1989.0,1,1,1,,WGS84,2019,Christopher Kernan|Pamela Phillips
5586,PRESERVED_SPECIMEN,Anthodiscus chocoensis,197942,GBIF,Gentry 40460,Manuel Vargas,,3.93333,-77.13333,"BAJO CALIMA: ca. 15 km N of Buenaventura, Carton de Colombia concession; transition between tropical wet and pluvial forest.",1983.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Adrian Juncosa
5587,PRESERVED_SPECIMEN,Anthodiscus chocoensis,197871,GBIF,Faber-Langendoen 205,Manuel Vargas,,3.66666,-77.0,"Bajo Calima Concession. Ca 16 km N of Buenaventura, behind Pulpapel Forestry Station. 18 year old Secondary Forest on slightly hilly (10-20º slopes) terrain-clay.",1987.0,1,1,1,,WGS84,2019,Donald Faber-Langendoen|Eulises Rentería|Miryam Monsalve B.
5588,PRESERVED_SPECIMEN,Anthodiscus chocoensis,197904,GBIF,Aguilar Fernández 247,Manuel Vargas,,8.7,-83.52,Reserva Forestal Golfo Dulce Aguabuena. Rincón de Osa.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
5589,PRESERVED_SPECIMEN,Anthodiscus chocoensis,197865,GBIF,Faber-Langendoen 372,Manuel Vargas,,3.833333,-77.166667,"Bajo Calima Concession. Ca 16 km NW of Buenaventura, at end of Gasolina Rd, Juanchaco area, BV-82.",1987.0,1,1,1,,WGS84,2019,Donald Faber-Langendoen|Miryam Monsalve B.|Eulises Rentería
5590,PRESERVED_SPECIMEN,Anthodiscus chocoensis,197820,GBIF,Hammel 16795,Manuel Vargas,,8.733333,-83.6,"Reserva Forestal Golfo Dulce.  Osa Península, Rancho Quemado; in forest on trail to Drake on ridge at N end of valley; on slope leading down to Guerra.",1988.0,1,1,1,,WGS84,2019,Barry E. Hammel|Rafael Robles|Juan Marín
5591,PRESERVED_SPECIMEN,Anthodiscus chocoensis,197805,GBIF,Hammel 16624,Manuel Vargas,,8.6,-83.466667,Reserva Forestal Golfo Dulce.  Between Rincón de Osa and entrance to Parque Nacional Corcovado; along new lumber road on red clay soil ridge in primary forest ca. 5 km NE of Los Patos.,1988.0,1,1,1,,WGS84,2019,Barry E. Hammel|M. Bozzoli
5760,PRESERVED_SPECIMEN,Anthodiscus chocoensis,1696551,GBIF,Estrada Chavarría 2706,Manuel Vargas,,9.46,-83.85,Río Nuevo. Area no Protegida. Savegre Abajo,2001.0,1,1,1,,WGS84,2019,Armando Estrada|Rafael Chacón|Silvia Lobo|et al.
5761,PRESERVED_SPECIMEN,Anthodiscus chocoensis,1696550,GBIF,Poveda Álvarez 4041,Manuel Vargas,,8.65,-83.18,Sendero de la Reserva Aledaño al aeropuerto. Golfito,1985.0,1,1,1,,WGS84,2019,Luis J. Poveda Álvarez|Estudiantes del Curso Dendrología
5785,PRESERVED_SPECIMEN,Anthodiscus chocoensis,1505472,GBIF,Gentry 35277,Manuel Vargas,,3.93333,-77.13333,"Bajo Calima, ca. 10 km N of Buenaventura.",1981.0,1,1,1,,WGS84,2019,Alwyn H. Gentry
5923,PRESERVED_SPECIMEN,Anthodiscus chocoensis,1281604,GBIF,Gentry 23801,Manuel Vargas,,5.53833,-76.63472,"Road to Lloro (under construction) 1-2 km SE of Yuto, ca. 30 km S of Quibdo, mature forest disturbed by selective logging.",1979.0,1,1,1,,WGS84,2019,Alwyn H. Gentry|Enrique  Rentería A.
5933,PRESERVED_SPECIMEN,Anthodiscus chocoensis,1257711,GBIF,Aguilar Fernández 4118,Manuel Vargas,,8.71,-83.56,Bahia Chal. Entrada Chocuaco.,1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
5934,PRESERVED_SPECIMEN,Anthodiscus chocoensis,1257723,GBIF,Aguilar Fernández 3256,Manuel Vargas,,8.525,-83.427778,"P.N. Corcovado.  Península de Osa.  Estación El Tigre, Río Tigre.  Agujas.  Finca Azofeifa.",1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
5941,PRESERVED_SPECIMEN,Anthodiscus chocoensis,1256631,GBIF,Morales Quirós 4834,Manuel Vargas,,8.672222,-83.519444,"R.F. Golfo Dulce.  Península de Osa.  Rancho Quemado, quebrada Banegas, bosque primario cerca de Charcos.",1995.0,1,1,1,,WGS84,2019,J. F. Morales|R. J. Abarca
6320,PRESERVED_SPECIMEN,Anthodiscus chocoensis,100476738,GBIF,Hammel 26289,Manuel Vargas,,8.833056,-80.686389,"MPSA Concession. Trail to Petaquilla Camp. Collected with: J. De Gracia, J. Martínez, M. Merello & H. Quiel.",2012.0,1,1,1,,WGS84,2019,Barry E. Hammel
6321,PRESERVED_SPECIMEN,Anthodiscus chocoensis,100476335,GBIF,Hammel 26219,Manuel Vargas,,8.831667,-80.684722,"MPSA Concession. Valle Grande. Sierra 19. (UTM 534653, 976261) Collected with: J. De Gracia, J. Martínez, H. Quiel, & M. Merello",2012.0,1,1,1,,WGS84,2019,Barry E. Hammel
6329,PRESERVED_SPECIMEN,Anthodiscus chocoensis,100426749,GBIF,Harmon 268,Manuel Vargas,,8.660833,-83.713889,R.F. Golfo Dulce.  Península de Osa.  Playa Campanario o San Josecito.  Sierpe.,1991.0,1,1,1,,WGS84,2019,Patrick K. Harmon
6330,PRESERVED_SPECIMEN,Anthodiscus chocoensis,100426742,GBIF,Aguilar Fernández 11155,Manuel Vargas,,8.6925,-83.593055,"Distrito Sierpe. Reserva Forestal Golfo Dulce;  Rancho Quemado, camino a Drake, parte mas elevada del camino, 200 m al este de la torre del ICE, in una trocha que lleva al Tierra de Conservacion de Rancho Quemado.",2008.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
6331,PRESERVED_SPECIMEN,Anthodiscus chocoensis,100426704,GBIF,Thomsen 862,Manuel Vargas,,8.7,-83.5,"Aguabuena, 3 km W of Rincón. One-hectare permanent sample plot 800 m N of the house of Henry Monge in well-drained, moderately sloping terrain. Tall forest along timber road, left after selective logging March 1992. Characteristic species: Iriartea, Symphonia, Otoba, and Protium spp; Plot indiv. #3081",1993.0,1,1,1,,WGS84,2019,Karsten Thomsen
6332,PRESERVED_SPECIMEN,Anthodiscus chocoensis,100426743,GBIF,Aguilar Fernández 11146,Manuel Vargas,,8.6925,-83.593055,"Distrito Sierpe. Reserva Forestal Golfo Dulce;  Rancho Quemado, camino a Drake, parte mas elevada del camino, 200 m al este de la torre del ICE, in una trocha que lleva al Tierra de Conservacion de Rancho Quemado.",2008.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
6347,PRESERVED_SPECIMEN,Anthodiscus chocoensis,100381973,GBIF,Guerrero 1413,Manuel Vargas,,8.85,-80.68333299999999,Área del proyecto minero de Petaquilla.,2008.0,1,1,1,,WGS84,2019,N. Guerrero|et al.
6371,PRESERVED_SPECIMEN,Anthodiscus chocoensis,100226314,GBIF,Guerrero 1213,Manuel Vargas,,8.856944,-80.69444399999999,Area del proyecto minero Petaquilla,2008.0,1,1,1,,WGS84,2019,N. Guerrero
6380,PRESERVED_SPECIMEN,Anthodiscus chocoensis,100183957,GBIF,McPherson 20902,Manuel Vargas,,8.884444,-80.7075,"Westernmost part of province, site of proposed copper mine (INMET). Along route of proposed road. Lowland forest. Collected with Jean-Yves Serein.",2009.0,1,1,1,,WGS84,2019,Gordon McPherson
6389,PRESERVED_SPECIMEN,Anthodiscus chocoensis,100143222,GBIF,González Ramírez 2130,Manuel Vargas,,9.574722,-84.128056,No protegida. Cuenca del Naranjo y Paquita. La Jamaica; Finca Ríos - Paraíso; sendero al Río Negro.,2002.0,1,1,1,,WGS84,2019,José Á. González R.
6451,PRESERVED_SPECIMEN,Anthodiscus chocoensis,4401486,GBIF,,Manuel Vargas,,8.680667,-83.57602800000001,"Área de Conservación Osa, Reserva Forestal Golfo Dulce, Rancho Quemado, Fila Rancho Quemado. Sendero a Cero Brujo.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; William Montero ; Guillermo Villalobos ; Jose Antonio Azofeifa Zuñiga
6452,PRESERVED_SPECIMEN,Anthodiscus chocoensis,4401488,GBIF,,Manuel Vargas,,8.680667,-83.57602800000001,"Área de Conservación Osa, Reserva Forestal Golfo Dulce, Rancho Quemado, Fila Rancho Quemado. Sendero a Cero Brujo.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; William Montero ; Guillermo Villalobos ; Jose Antonio Azofeifa Zuñiga
6453,PRESERVED_SPECIMEN,Anthodiscus chocoensis,4401487,GBIF,,Manuel Vargas,,8.680667,-83.57602800000001,"Área de Conservación Osa, Reserva Forestal Golfo Dulce, Rancho Quemado, Fila Rancho Quemado. Sendero a Cero Brujo.",2014.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; William Montero ; Guillermo Villalobos ; Jose Antonio Azofeifa Zuñiga
6472,PRESERVED_SPECIMEN,Anthodiscus chocoensis,4358534,GBIF,,Manuel Vargas,,8.736111,-83.466667,Mogos. Bahía Chal.,2002.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
7279,PRESERVED_SPECIMEN,Anthodiscus chocoensis,3491483,GBIF,,Manuel Vargas,,9.574678,-84.12804,"Cerros de Quepos, entre Río Negro y Río Blanco",2002.0,1,1,1,,WGS84,2019,Jose González
7280,PRESERVED_SPECIMEN,Anthodiscus chocoensis,3491481,GBIF,,Manuel Vargas,,9.574678,-84.12804,"Cerros de Quepos, entre Río Negro y Río Blanco",2002.0,1,1,1,,WGS84,2019,Jose González
7281,PRESERVED_SPECIMEN,Anthodiscus chocoensis,3491485,GBIF,,Manuel Vargas,,9.574678,-84.12804,"Cerros de Quepos, entre Río Negro y Río Blanco",2002.0,1,1,1,,WGS84,2019,Jose González
7282,PRESERVED_SPECIMEN,Anthodiscus chocoensis,3491482,GBIF,,Manuel Vargas,,9.574678,-84.12804,"Cerros de Quepos, entre Río Negro y Río Blanco",2002.0,1,1,1,,WGS84,2019,Jose González
7283,PRESERVED_SPECIMEN,Anthodiscus chocoensis,3491484,GBIF,,Manuel Vargas,,9.574678,-84.12804,"Cerros de Quepos, entre Río Negro y Río Blanco",2002.0,1,1,1,,WGS84,2019,Jose González
7499,PRESERVED_SPECIMEN,Anthodiscus chocoensis,2905859,GBIF,,Manuel Vargas,,8.722222,-83.44166700000001,"Los Mogos; Bahia Chal, junto a la playa.",1994.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
7503,PRESERVED_SPECIMEN,Anthodiscus chocoensis,2905617,GBIF,,Manuel Vargas,,8.7,-83.525,Aguabuena.,1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
7538,PRESERVED_SPECIMEN,Anthodiscus chocoensis,2924732,GBIF,,Manuel Vargas,,8.6,-83.733333,Llorona to Los Planes.,1989.0,1,1,1,,WGS84,2019,C. Kernan
7572,PRESERVED_SPECIMEN,Anthodiscus chocoensis,2918359,GBIF,,Manuel Vargas,,8.733333,-83.6,Rancho Quemado; in forest on trail to Drake on ridge at N end of valley; on slope leading down to Guerra.,1988.0,1,1,1,,WGS84,2019,Barry Hammel
7574,PRESERVED_SPECIMEN,Anthodiscus chocoensis,2918213,GBIF,,Manuel Vargas,,8.6,-83.466667,Between Rincon de Osa and entrance to Parque Nacional Corcovado; along new lumber road on red clay soil ridge in primary forest ca. 5 km NE of Los Patos.,1988.0,1,1,1,,WGS84,2019,Barry Hammel
7724,PRESERVED_SPECIMEN,Anthodiscus chocoensis,2846709,GBIF,,Manuel Vargas,,8.683333,-83.541667,"Banegas, camino a Rancho Quemado.",1999.0,1,1,1,,WGS84,2019,Priscila Hurtado
7726,PRESERVED_SPECIMEN,Anthodiscus chocoensis,2846708,GBIF,,Manuel Vargas,,8.683333,-83.541667,"Banegas, camino a Rancho Quemado.",1999.0,1,1,1,,WGS84,2019,Priscila Hurtado
7729,PRESERVED_SPECIMEN,Anthodiscus chocoensis,2846710,GBIF,,Manuel Vargas,,8.683333,-83.541667,"Banegas, camino a Rancho Quemado.",1999.0,1,1,1,,WGS84,2019,Priscila Hurtado
7806,PRESERVED_SPECIMEN,Anthodiscus chocoensis,1585588,GBIF,,Manuel Vargas,,8.716667,-83.580557,Bahia Chal.  Entrada Chocuaco.,1995.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
7816,PRESERVED_SPECIMEN,Anthodiscus chocoensis,1583463,GBIF,,Manuel Vargas,,8.660833,-83.713889,Playa Campanario o San Josecito. Sierpe. Primary forest.,1991.0,1,1,1,,WGS84,2019,Patrick Harmon
