,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
4239,PRESERVED_SPECIMEN,Arachnothryx chaconii,4462021,GBIF,,Manuel Vargas,,10.315281,-84.074717,"Heredia. San Ramón de la Virgen de Sarapiquí, Área de Conservación Cordillera Volcánica Central, Estación El Ceibo, Sendero Río Peje a casa de Cascante.",2016.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Braulio Hernández
4242,PRESERVED_SPECIMEN,Arachnothryx chaconii,4462019,GBIF,,Manuel Vargas,,10.315281,-84.074717,"Heredia. San Ramón de la Virgen de Sarapiquí, Área de Conservación Cordillera Volcánica Central, Estación El Ceibo, Sendero Río Peje a casa de Cascante.",2016.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Braulio Hernández
4243,PRESERVED_SPECIMEN,Arachnothryx chaconii,4462020,GBIF,,Manuel Vargas,,10.315281,-84.074717,"Heredia. San Ramón de la Virgen de Sarapiquí, Área de Conservación Cordillera Volcánica Central, Estación El Ceibo, Sendero Río Peje a casa de Cascante.",2016.0,1,1,1,,WGS84,2019,Nelson A. Zamora Villalobos; Braulio Hernández
4442,PRESERVED_SPECIMEN,Arachnothryx chaconii,894871,GBIF,Bello Carranza 2082,Manuel Vargas,,10.33,-84.68,"Reserva Biológica Monteverde, Bosque Eterno de Los Niños, Salazar's",1990.0,1,1,1,,WGS84,2019,Erick Bello C.
4460,PRESERVED_SPECIMEN,Arachnothryx chaconii,890967,GBIF,Boyle 3017,Manuel Vargas,,10.29,-84.07,"Parque Nacional Braulio Carrillo, Cordillera Central, Puesto El Ceibo, on ridge crest 250 m west of Transect Trail, primary premontane wet forest",1994.0,1,1,1,,WGS84,2019,Brad Boyle|J. A. Pickering
4462,PRESERVED_SPECIMEN,Arachnothryx chaconii,890839,GBIF,Boyle 2953,Manuel Vargas,,10.29,-84.07,"Parque Nacional Braulio Carrillo, Cordillera Central, Puesto El Ceibo, on ridge crest 250 m west of Transect Trail, primary premontane wet forest",1994.0,1,1,1,,WGS84,2019,Brad Boyle|A. Espino
4463,PRESERVED_SPECIMEN,Arachnothryx chaconii,890654,GBIF,Boyle 2866,Manuel Vargas,,10.29,-84.07,"Parque Nacional Braulio Carrillo, Cordillera Central, Puesto El Ceibo, on ridge crest 250 m east of Transect Trail, primary premontane wet forest",1994.0,1,1,1,,WGS84,2019,Brad Boyle|L. Esquivel|S. Kelly
4638,PRESERVED_SPECIMEN,Arachnothryx chaconii,537302,GBIF,Bello Carranza 1080,Manuel Vargas,,10.35,-84.66,Reserva Biológica Monteverde Río Peñas Blancas. Laguna Poco Sol.,1989.0,1,1,1,,WGS84,2019,Erick Bello C.
4709,PRESERVED_SPECIMEN,Arachnothryx chaconii,507531,GBIF,Grayum 6735,Manuel Vargas,,10.291667,-84.075,"Between Río Peje and Río Sardinalito, Atlantic slope of Volcán Barva.",1986.0,1,1,1,,WGS84,2019,Michael H. Grayum
5141,PRESERVED_SPECIMEN,Arachnothryx chaconii,2844914,GBIF,Gilman 235,Manuel Vargas,,10.29083,-84.07555,"Parque Nacional Braulio Carrillo, Atlantic slope of the Cordillera Central, from Park entrance at El Ceibo hike 4 hrs to Casa 1070, then hike ca. 1 hr 30 min S on main trail below Casa 1116.",2004.0,1,1,1,,WGS84,2019,Alex Gilman
5142,PRESERVED_SPECIMEN,Arachnothryx chaconii,2844905,GBIF,Gilman 200,Manuel Vargas,,10.283610000000001,-84.08,"Parque Nacional Braulio Carrillo, Atlantic slope of the Cordillera Central, from Park entrance at El Ceibo hike 4 hrs to Casa 1070, then hike ca. 1 hr 30 min S on main trail below Casa.",2004.0,1,1,1,,WGS84,2019,Alex Gilman
5604,PRESERVED_SPECIMEN,Arachnothryx chaconii,1929710,GBIF,Chacón Gamboa 177,Manuel Vargas,,10.3,-84.1,"Pasturas, bosque socolado, finca de Bernardo Gómez, Magsasay",1983.0,1,1,1,,WGS84,2019,Isidro A. Chacón G.
6212,PRESERVED_SPECIMEN,Arachnothryx chaconii,100565778,GBIF,Hammel 21030,Manuel Vargas,,10.588889,-84.93055600000001,"Cuenca del Río Frío. Lago Cote-Eco Lodge, Sendero Bromelia.",1997.0,1,1,1,,WGS84,2019,Barry E. Hammel|et al.
7630,PRESERVED_SPECIMEN,Arachnothryx chaconii,2833768,GBIF,,Manuel Vargas,,10.588889,-84.93055600000001,"1-2 km west of Lago de Cote, 13 km north of Tilaran, continental divide on SE slope of Volcan Tenorio, Eco-Lodge cloud forest reserve.",1997.0,1,1,1,,WGS84,2019,Barry Hammel; Randy Evans ; Gerardo Rivera
