,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
4064,PRESERVED_SPECIMEN,Ardisia crassiramea,00031226,GBIF,,Manuel Vargas,,10.341667,-84.80833299999999,"Monteverde, at edge of Continental divide and on Pacific side of slope",1975.0,1,1,1,,WGS84,2019,J. C. Solomon
4252,PRESERVED_SPECIMEN,Ardisia crassiramea,4461583,GBIF,,Manuel Vargas,,10.801116,-85.329178,"Liberia. Área de Conservación Guanacaste, Sector Hacienda Santa María, Sendero al cráter del Volcán Santa María.",2015.0,1,1,1,,WGS84,2019,Roberto Espinoza; Adrián Guadamuz
4256,PRESERVED_SPECIMEN,Ardisia crassiramea,4461582,GBIF,,Manuel Vargas,,10.801116,-85.329178,"Liberia. Área de Conservación Guanacaste, Sector Hacienda Santa María, Sendero al cráter del Volcán Santa María.",2015.0,1,1,1,,WGS84,2019,Roberto Espinoza; Adrián Guadamuz
4258,PRESERVED_SPECIMEN,Ardisia crassiramea,4461584,GBIF,,Manuel Vargas,,10.801116,-85.329178,"Liberia. Área de Conservación Guanacaste, Sector Hacienda Santa María, Sendero al cráter del Volcán Santa María.",2015.0,1,1,1,,WGS84,2019,Roberto Espinoza; Adrián Guadamuz
4303,PRESERVED_SPECIMEN,Ardisia crassiramea,401638,GBIF,Haber 2428,Manuel Vargas,,10.30888,-84.79083,"Reserva Monteverde, Sendero Brillante",1985.0,1,1,1,,WGS84,2019,William A. Haber|Erick Bello C.
4306,PRESERVED_SPECIMEN,Ardisia crassiramea,401586,GBIF,Haber 9128,Manuel Vargas,,10.28333,-84.78333,"Reserva Biológica Monteverde Sendero Brillante, división continental.",1989.0,1,1,1,,WGS84,2019,William A. Haber|Willow Zuchowski
4395,PRESERVED_SPECIMEN,Ardisia crassiramea,902683,GBIF,Haber 10033,Manuel Vargas,,10.3,-84.78,"R.B. Monteverde; Cordillera de Tilarán. Road to divide, swamp on continental divide (Sendero Pantanoso) and Sendero Chomogo.",1990.0,1,1,1,,WGS84,2019,William A. Haber|Willow Zuchowski
4425,PRESERVED_SPECIMEN,Ardisia crassiramea,898843,GBIF,Fuentes Alvarado 701,Manuel Vargas,,10.25,-84.78,"Cordillera de Tilarán. San Luis; Cerro Banquete, camino a Surtubal. Monteverde.",1994.0,1,1,1,,WGS84,2019,Zobeida Fuentes
4892,PRESERVED_SPECIMEN,Ardisia crassiramea,402720,GBIF,Solomon 5392,Manuel Vargas,,10.333333,-84.8,Monteverde.  Cloud forest at edge of continental divide and on Pacific side of slope.  Collected by H. Rodríguez.,1976.0,1,1,1,,WGS84,2019,James C. Solomon
4919,PRESERVED_SPECIMEN,Ardisia crassiramea,400491,GBIF,Grayum 3847,Manuel Vargas,,10.3,-84.783333,"Boundary between Provinces Puntarenas and Alajuela: Monte Verde Reserve, Cordillera de Tilarán, Cerros Centinelas.",1984.0,1,1,1,,WGS84,2019,Michael H. Grayum|Pamela J. Sleeper
