,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
275,HUMAN_OBSERVATION,Avicennia bicolor,,GBIF,,Manuel Vargas,,13.0978,-87.18361999999999,Golfo De Fonseca,2014.0,1,1,1,,WGS84,2019,
276,HUMAN_OBSERVATION,Avicennia bicolor,,GBIF,,Manuel Vargas,,13.0978,-87.18361999999999,Golfo De Fonseca,2014.0,1,1,1,,WGS84,2019,
279,HUMAN_OBSERVATION,Avicennia bicolor,,GBIF,,Manuel Vargas,,13.0978,-87.18361999999999,Golfo De Fonseca,2014.0,1,1,1,,WGS84,2019,
280,HUMAN_OBSERVATION,Avicennia bicolor,,GBIF,,Manuel Vargas,,13.0978,-87.18361999999999,Golfo De Fonseca,2014.0,1,1,1,,WGS84,2019,
306,HUMAN_OBSERVATION,Avicennia bicolor,,GBIF,,Manuel Vargas,,13.0978,-87.18361999999999,Golfo De Fonseca,2014.0,1,1,1,,WGS84,2019,
311,HUMAN_OBSERVATION,Avicennia bicolor,,GBIF,,Manuel Vargas,,13.0978,-87.18361999999999,Golfo De Fonseca,2014.0,1,1,1,,WGS84,2019,
322,HUMAN_OBSERVATION,Avicennia bicolor,,GBIF,,Manuel Vargas,,13.0978,-87.18361999999999,Golfo De Fonseca,2014.0,1,1,1,,WGS84,2019,
327,HUMAN_OBSERVATION,Avicennia bicolor,,GBIF,,Manuel Vargas,,13.0978,-87.18361999999999,Golfo De Fonseca,2014.0,1,1,1,,WGS84,2019,
330,HUMAN_OBSERVATION,Avicennia bicolor,,GBIF,,Manuel Vargas,,13.0978,-87.18361999999999,Golfo De Fonseca,2014.0,1,1,1,,WGS84,2019,
337,HUMAN_OBSERVATION,Avicennia bicolor,,GBIF,,Manuel Vargas,,13.0978,-87.18361999999999,Golfo De Fonseca,2014.0,1,1,1,,WGS84,2019,
350,HUMAN_OBSERVATION,Avicennia bicolor,,GBIF,,Manuel Vargas,,13.0978,-87.18361999999999,Golfo De Fonseca,2014.0,1,1,1,,WGS84,2019,
461,HUMAN_OBSERVATION,Avicennia bicolor,,GBIF,,Manuel Vargas,,13.0978,-87.18361999999999,Golfo De Fonseca,2014.0,1,1,1,,WGS84,2019,
529,HUMAN_OBSERVATION,Avicennia bicolor,,GBIF,,Manuel Vargas,,13.0978,-87.18361999999999,Golfo De Fonseca,2014.0,1,1,1,,WGS84,2019,
567,HUMAN_OBSERVATION,Avicennia bicolor,,GBIF,,Manuel Vargas,,13.0978,-87.18361999999999,Golfo De Fonseca,2014.0,1,1,1,,WGS84,2019,
568,HUMAN_OBSERVATION,Avicennia bicolor,,GBIF,,Manuel Vargas,,13.0978,-87.18361999999999,Golfo De Fonseca,2014.0,1,1,1,,WGS84,2019,
