,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
0,PRESERVED_SPECIMEN,Avicennia germinans,RB01419778,GBIF,481,Manuel Vargas,,-2.877222,-44.466667,"Conglomerado MA 71; subunidade 1, subparcela 6 e indivíduo 18.",2018.0,1,1,1,,WGS84,2019,M.O. Sousa
1,PRESERVED_SPECIMEN,Avicennia germinans,RB01419941,GBIF,482,Manuel Vargas,,-2.877222,-44.466667,"Conglomerado MA 71; subunidade 1, subparcela 10 e indivíduo 2.",2018.0,1,1,1,,WGS84,2019,M.O. Sousa
2,PRESERVED_SPECIMEN,Avicennia germinans,RB01419800,GBIF,222,Manuel Vargas,,-3.7575,-38.475,Congl. 36-P43; sub. 4 e indivíduo 1.,2014.0,1,1,1,,WGS84,2019,D. Poczwardowski
4,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,4813,Manuel Vargas,,6.83333,-58.166669999999996,Demarara-Mahaica Region; Georgetown.,1988.0,1,1,1,,WGS84,2019,W. Hahn
5,PRESERVED_SPECIMEN,Avicennia germinans,SD00019650,GBIF,887,Manuel Vargas,,24.65026,-112.14418,"Isla Magdalena, Zona de manglar al norte de Puerto Magdalena",,1,1,1,,WGS84,2019,"Alfonso Medel Narvaez; J. Rebman, P. Breslin"
6,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,11-289,Manuel Vargas,,25.524160000000002,-111.08917,Sierra de la Giganta: Agua Verde: Entrade por el entronque carretera Cd. Insurgentes - Loreto,2011.0,1,1,1,,WGS84,2019,Alfonso Medel Narvaez; cols.
7,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,851,Manuel Vargas,,24.4,-111.5,Puerto Chale.,1972.0,1,1,1,,WGS84,2019,Peta J. Mudie
8,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,4874,Manuel Vargas,,26.74222,-111.90028000000001,Near Playa Escondido and Playa Burro south f ulege along Mx Highway 1. West edge of Bahia Concepcion.,2005.0,1,1,1,,WGS84,2019,Sarah J. De Groot
9,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,2045c,Manuel Vargas,,24.78876,-112.25813000000001,"Magdalena Island: Cabo San Lazaro, mangrove area at the head of the bay",1973.0,1,1,1,,WGS84,2019,Christopher Davidson
10,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,2009-3,Manuel Vargas,,25.4525,-112.07278000000001,Boca de Santo Domingo. Magdalena Bay.,2009.0,1,1,1,,WGS84,2019,Exequiel Ezcurra
11,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,2131,Manuel Vargas,,24.808239999999998,-112.14672,"Punta Edie a strand island southwest of San Carlos, north end of Bahía Magdalena.",1971.0,1,1,1,,WGS84,2019,R. M. Beauchamp
12,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,71-167,Manuel Vargas,,24.902279999999998,-110.54391000000001,"Isla San Jose, southeast side.",1971.0,1,1,1,,WGS84,2019,J. R. Hastings
13,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,08-329,Manuel Vargas,,29.01417,-112.19833,Isla Tiburon; Punta Tormenta estero.,2008.0,1,1,1,,WGS84,2019,"Benjamin T. Wilder; Humberto Romero Morales, et al."
14,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,08-377,Manuel Vargas,,29.224420000000002,-112.29345,"Isla Tiburon; Cyazim It, a sand spit between dense patches of mangroves in the estero at Puta Perla.",2008.0,1,1,1,,WGS84,2019,"Benjamin T. Wilder; Humberto Romero Morales, et al."
15,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,16666,Manuel Vargas,,24.13208,-110.42925,"West shore of La Paz Bay, Las Hamacas.",1969.0,1,1,1,,WGS84,2019,Reid Moran
16,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,07-408,Manuel Vargas,,28.813470000000002,-111.965,"Isla Alcatraz, south central portion of flat.",2007.0,1,1,1,,WGS84,2019,Benjamin T. Wilder; Humberto Romero-Morales and Alexander Swanson
17,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,9421,Manuel Vargas,,25.03221,-110.70681,"Isla San Jose: by lagoon, Los Osteones, west side of island.",1962.0,1,1,1,,WGS84,2019,Reid Moran
18,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,9168,Manuel Vargas,,26.01591,-111.16286000000001,Carmen Island: Balandra Bay,1962.0,1,1,1,,WGS84,2019,Reid Moran
19,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,06-276,Manuel Vargas,,28.968609999999998,-112.20194,"Isla Tiburon; Estero San Miguel, inside the protected lagoon on the tounge of land extending into the Canal de Infiermillo.",2006.0,1,1,1,,WGS84,2019,"Benjamin T. Wilder; Humberto Romero, et al."
20,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,9549,Manuel Vargas,,24.84181,-110.57078999999999,"Isla San Francisco: edge of salt flat, north end of island",1962.0,1,1,1,,WGS84,2019,Reid Moran
21,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,06-9,Manuel Vargas,,28.983890000000002,-112.21541,"Isla Tiburon; east side of island on beach, ca. 1.0 km north of Estero de San Miguel.",2006.0,1,1,1,,WGS84,2019,Benhjamin Wilder; Edward Gilbert and Humberto Romero
22,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,5455,Manuel Vargas,,26.690409999999996,-111.87378000000001,"Shore of Bahia de Concepcion, between Mulege and head of bay and dry hills traversed by road.",1931.0,1,1,1,,WGS84,2019,Ira L. Wiggins
23,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,07-200,Manuel Vargas,,28.974629999999998,-112.19888,Punta San Miguel (point of land jutting into the Canal del Infiernillo at estero San Miguel).,2007.0,1,1,1,,WGS84,2019,Benjamin T. Wilder; Humberto Romero and Seth Turner
24,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,12625,Manuel Vargas,,28.408140000000003,-112.86039,Bahia San Francisquito,1966.0,1,1,1,,WGS84,2019,Reid Moran
25,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,4003,Manuel Vargas,,26.88597,-111.99148999999998,Slough at Mulege,1964.0,1,1,1,,WGS84,2019,Darley F. Howe
26,PRESERVED_SPECIMEN,Avicennia germinans,SD00015135,GBIF,7151,Manuel Vargas,,24.16667,-110.3333,Cape Region; El Mogote,1959.0,1,1,1,,WGS84,2019,Reid Moran
27,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,3926,Manuel Vargas,,26.02069,-111.16196000000001,"Balandra Bay, Carmen Island.",1952.0,1,1,1,,WGS84,2019,Reid Moran
28,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,3161,Manuel Vargas,,24.1716,-110.4325,"Playa; ca. 4 miles northwest of La Paz, back of beach",1959.0,1,1,1,,WGS84,2019,C.H. Lowe; R.M. Turner
29,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,7940,Manuel Vargas,,24.74015,-111.91901999999999,Shore of Magdalena Bay near Medano Amarilla.,1959.0,1,1,1,,WGS84,2019,John H. Thomas
30,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,s.n.,Manuel Vargas,,24.16613,-110.3643,"El Mogote, La Paz.",1956.0,1,1,1,,WGS84,2019,Charles F. Harbison
31,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,4491,Manuel Vargas,,26.71667,-111.90666999999999,Bahia Concepcion at Bahia Coyote.,1989.0,1,1,1,,WGS84,2019,Fred M. Roberts; Dar A. Roberts
32,PRESERVED_SPECIMEN,Avicennia germinans,,GBIF,s.n.,Manuel Vargas,,24.105220000000003,-110.38595,La Paz,1952.0,1,1,1,,WGS84,2019,E. B. Higgins
